"","rider","location","number","finish","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"126","KEYLAN MESTON","Alberta","10",8,7,133.34,35.498,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"127","KEYLAN MESTON","Alberta","10",8,8,133.371,38.978,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"128","KEYLAN MESTON","Alberta","10",8,9,137.567,46.21,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"129","KEYLAN MESTON","Alberta","10",8,10,136.172,51.743,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"130","KEYLAN MESTON","Alberta","10",8,11,137.21,56.997,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"131","KEYLAN MESTON","Alberta","10",8,12,138.339,64.865,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"132","KEYLAN MESTON","Alberta","10",8,13,138.917,71.163,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"133","KEYLAN MESTON","Alberta","10",8,14,137.648,75.535,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"134","KEYLAN MESTON","Alberta","10",8,15,137.665,78.758,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"135","KEYLAN MESTON","Alberta","10",8,16,139.464,86.004,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"136","KEYLAN MESTON","Alberta","10",8,17,140.755,92.629,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"137","JULIEN BENEK","British Columbia","17",9,1,74.843,14.843,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"138","JULIEN BENEK","British Columbia","17",9,2,135.891,19.43,12,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"139","JULIEN BENEK","British Columbia","17",9,3,135.6,25.483,12,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"140","JULIEN BENEK","British Columbia","17",9,4,136.537,32.471,11,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"141","JULIEN BENEK","British Columbia","17",9,5,135.393,37.794,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"142","JULIEN BENEK","British Columbia","17",9,6,134.788,42.978,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"143","JULIEN BENEK","British Columbia","17",9,7,135.037,48.808,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"144","JULIEN BENEK","British Columbia","17",9,8,135.406,54.323,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"145","JULIEN BENEK","British Columbia","17",9,9,138.581,62.569,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"146","JULIEN BENEK","British Columbia","17",9,10,136.547,68.477,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"147","JULIEN BENEK","British Columbia","17",9,11,137.552,74.073,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"148","JULIEN BENEK","British Columbia","17",9,12,138.124,81.726,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"149","JULIEN BENEK","British Columbia","17",9,13,136.822,85.929,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"150","JULIEN BENEK","British Columbia","17",9,14,138.032,90.685,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"151","JULIEN BENEK","British Columbia","17",9,15,138.639,94.882,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"152","JULIEN BENEK","British Columbia","17",9,16,139.14,101.804,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"153","JULIEN BENEK","British Columbia","17",9,17,141.068,108.742,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"154","GAVIN BROUGH","Nevada","670",10,1,69.699,9.699,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"155","GAVIN BROUGH","Nevada","670",10,2,137.56,15.955,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"156","GAVIN BROUGH","Nevada","670",10,3,138.118,24.526,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"157","GAVIN BROUGH","Nevada","670",10,4,136.499,31.476,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
