finish,rider,number,lap,time,behind,place,year,round,moto,track,date,race_id,class,type,points
37,"ANTHONY VOGHELLST CESAIRE, QC",22,4,177.778,114.467,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
38,"THOMAS RENDALLOttawa, On",494,1,95.224,35.224,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
38,"THOMAS RENDALLOttawa, On",494,2,168.882,81.695,37,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
38,"THOMAS RENDALLOttawa, On",494,3,256.808,215.505,38,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
1,"GAGE LINVILLELakepark, Ge",402,1,60,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,2,135.535,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,3,133.178,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,4,132.765,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,5,133.874,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,6,134.694,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,7,135.071,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,8,135.486,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,9,136.712,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,10,138.203,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
