"","finish","rider","number","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"117",7,"TANNER WARDWoodstock, ON","84",15,134.291,52.771,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"118",7,"TANNER WARDWoodstock, ON","84",16,135.247,55.8,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"119",7,"TANNER WARDWoodstock, ON","84",17,134.008,55.678,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"120",8,"KEYLAN MESTONRockyViewCounty, AB","10",1,68.51,8.51,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"121",8,"KEYLAN MESTONRockyViewCounty, AB","10",2,135.787,12.993,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"122",8,"KEYLAN MESTONRockyViewCounty, AB","10",3,133.345,16.791,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"123",8,"KEYLAN MESTONRockyViewCounty, AB","10",4,134.601,21.843,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"124",8,"KEYLAN MESTONRockyViewCounty, AB","10",5,133.831,25.604,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"125",8,"KEYLAN MESTONRockyViewCounty, AB","10",6,135.365,31.365,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"126",8,"KEYLAN MESTONRockyViewCounty, AB","10",7,133.34,35.498,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"127",8,"KEYLAN MESTONRockyViewCounty, AB","10",8,133.371,38.978,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"128",8,"KEYLAN MESTONRockyViewCounty, AB","10",9,137.567,46.21,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"129",8,"KEYLAN MESTONRockyViewCounty, AB","10",10,136.172,51.743,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"130",8,"KEYLAN MESTONRockyViewCounty, AB","10",11,137.21,56.997,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"131",8,"KEYLAN MESTONRockyViewCounty, AB","10",12,138.339,64.865,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"132",8,"KEYLAN MESTONRockyViewCounty, AB","10",13,138.917,71.163,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"133",8,"KEYLAN MESTONRockyViewCounty, AB","10",14,137.648,75.535,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"134",8,"KEYLAN MESTONRockyViewCounty, AB","10",15,137.665,78.758,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
